Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Control Wall along Malabo Creek, Brgy. Maysan, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,028,179.35",11/17/2022,REPORT,"Construction of Flood Control Wall along Malabo Creek, Brgy. Maysan, Valenzuela City",03/24/2022,"CONTRACTOR:
SONPRO CONSTRUCTION","CONTRACT COST: 19,028,179.35","VALENZUELA CITY (14.670416 , 120.984284)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Wall with Roads and Drainage along Benito Hao Creek, Brgy. Mapulang Lupa, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,025,387.56",11/17/2022,REPORT,"Construction of Flood Control Wall with Roads and Drainage along Benito Hao Creek, Brgy. Mapulang Lupa, Valenzuela City",03/24/2022,"CONTRACTOR:
SONPRO CONSTRUCTION","CONTRACT COST: 19,025,387.56","VALENZUELA CITY (14.708497 , 121.005354)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Wall along Gumamela Extension, Brgy. Gen. T. De Leon, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,029,943.69",11/17/2022,REPORT,"Construction of Flood Control Wall along Gumamela Extension, Brgy. Gen. T. De Leon, Valenzuela City",03/24/2022,"CONTRACTOR:
SONPRO CONSTRUCTION","CONTRACT COST: 19,029,943.69","VALENZUELA CITY (14.680041 , 120.988841)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Retaining Wall and Drainage at Displina Village, Lingunan, Brgy. Lingunan, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","9,540,007.71",11/17/2022,REPORT,"Construction of Retaining Wall and Drainage at Displina Village, Lingunan, Brgy. Lingunan, Valenzuela City",03/24/2022,"CONTRACTOR:
TOUGHBUILT CONSTRUCTION & TRADING, INC.","CONTRACT COST: 9,540,007.71","VALENZUELA CITY (14.713194 , 120.977326)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Improvement of Slope Protection of Baloc-Baloc Creek (Phase II), Parañaque City",PARAÑAQUE CITY,JMK BUILDERS CONSTRUCTION,"27,900,600.00",11/17/2022,REPORT,"Improvement of Slope Protection of Baloc-Baloc Creek (Phase II), Parañaque City",02/04/2022,"CONTRACTOR:
JMK BUILDERS CONSTRUCTION","CONTRACT COST: 27,900,600.00","PARAÑAQUE CITY (14.482701 , 121.009944)",National Capital Region,Construction of Revetment,FY 2022
"Construction of Dalakit Shore Protection, Brgy. Dalakit, Catarman, Northern Samar",NORTHERN SAMAR,SAL CONSTRUCTION / CDU CONSTRUCTION,"48,989,055.06",11/16/2022,REPORT,"Construction of Dalakit Shore Protection, Brgy. Dalakit, Catarman, Northern Samar",02/21/2022,"CONTRACTOR:
SAL CONSTRUCTION / CDU CONSTRUCTION","CONTRACT COST: 48,989,055.06","NORTHERN SAMAR (12.508005 , 124.633050)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Cadac-an Flood Control Structure along Cadac-an River, Cadac-an River Basin, Right Side Bank, Abuyog, Leyte",LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY) / EZJONES CONSTRUCTION INC.,"95,536,997.78",11/16/2022,REPORT,"Construction of Cadac-an Flood Control Structure along Cadac-an River, Cadac-an River Basin, Right Side Bank, Abuyog, Leyte",03/01/2022,"CONTRACTOR:
JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY) / EZJONES CONSTRUCTION INC.","CONTRACT COST: 95,536,997.78","LEYTE (10.727372 , 125.001298)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Alegria River Control, Alegria, Barcelona, Sorsogon",SORSOGON,ALHADRAX CONSTRUCTION AND SUPPLY,"15,523,200.00",11/16/2022,REPORT,"Construction of Alegria River Control, Alegria, Barcelona, Sorsogon",06/21/2022,"CONTRACTOR:
ALHADRAX CONSTRUCTION AND SUPPLY","CONTRACT COST: 15,523,200.00","SORSOGON (12.860447 , 124.127122)",Region V,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Structure of San Jose Creek, Barangay San Jose, Pili, Camarines Sur",CAMARINES SUR,DELPAR CONSTRUCTION & SUPPLIES,"4,945,912.30",11/16/2022,REPORT,"Construction of Flood Mitigation Structure of San Jose Creek, Barangay San Jose, Pili, Camarines Sur",05/26/2022,"CONTRACTOR:
DELPAR CONSTRUCTION & SUPPLIES","CONTRACT COST: 4,945,912.30","CAMARINES SUR (13.577451 , 123.264427)",Region V,Construction of Flood Mitigation Structure,FY 2022
"Construction of Shoreline/Seawall in Barangay V, Quezon, Quezon",QUEZON,RAM BUILDERS,"49,000,000.00",11/16/2022,REPORT,"Construction of Shoreline/Seawall in Barangay V, Quezon, Quezon",03/24/2022,"CONTRACTOR:
RAM BUILDERS","CONTRACT COST: 49,000,000.00","QUEZON (14.004394 , 122.180876)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of River Protection along Biñan River, Brgy. De La Paz, Biñan City, Laguna",LAGUNA,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"93,431,009.87",11/16/2022,REPORT,"Construction of River Protection along Biñan River, Brgy. De La Paz, Biñan City, Laguna",04/04/2022,"CONTRACTOR:
ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.","CONTRACT COST: 93,431,009.87","LAGUNA (14.355520 , 121.090530)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of Slope Protection along Angeles-Porac Bypass Road, Porac, Pampanga",PAMPANGA,R.D. POLICARPIO & COMPANY INC.,"96,204,248.42",11/16/2022,REPORT,"Construction of Slope Protection along Angeles-Porac Bypass Road, Porac, Pampanga",03/07/2022,"CONTRACTOR:
R.D. POLICARPIO & COMPANY INC.","CONTRACT COST: 96,204,248.42","PAMPANGA (15.106500 , 120.557800)",Region III,Construction of Slope Protection Structure,FY 2022
"Construction of Slope Protection along Angeles-Porac Bypass Road (Phase III), Porac, Pampanga",PAMPANGA,TONKA CONSTRUCTION / FERDSTAR BUILDERS INC.,"96,098,491.37",11/16/2022,REPORT,"Construction of Slope Protection along Angeles-Porac Bypass Road (Phase III), Porac, Pampanga",03/07/2022,"CONTRACTOR:
TONKA CONSTRUCTION / FERDSTAR BUILDERS INC.","CONTRACT COST: 96,098,491.37","PAMPANGA (15.115800 , 120.550100)",Region III,Construction of Slope Protection Structure,FY 2022
"Construction of Drainage Canal (Phase II), Brgy. Quirino, Maria Aurora, Aurora",AURORA,MORNING STEEL CONSTRUCTION,"39,200,000.00",11/16/2022,REPORT,"Construction of Drainage Canal (Phase II), Brgy. Quirino, Maria Aurora, Aurora",03/01/2022,"CONTRACTOR:
MORNING STEEL CONSTRUCTION","CONTRACT COST: 39,200,000.00","AURORA (15.767270 , 121.474050)",Region III,Construction of Drainage Structure,FY 2022
"Installation of Additional Booster Pump including Accessories at Estero de Maypajo, Juan Luna Section, Manila City",CITY OF MANILA,ST. TIMOTHY CONSTRUCTION CORPORATION / A.M. SALONG CONSTRUCTION,"96,055,346.98",11/16/2022,REPORT,"Installation of Additional Booster Pump including Accessories at Estero de Maypajo, Juan Luna Section, Manila City",02/23/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION / A.M. SALONG CONSTRUCTION","CONTRACT COST: 96,055,346.98","CITY OF MANILA (14.635338 , 120.975131)",National Capital Region,Construction of Flood Mitigation Facility,FY 2022
"Construction of Flood Control wall along Rincon Creek, Brgy. Rincon, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","8,553,377.26",11/16/2022,REPORT,"Construction of Flood Control wall along Rincon Creek, Brgy. Rincon, Valenzuela City",03/24/2022,"CONTRACTOR:
TOUGHBUILT CONSTRUCTION & TRADING, INC.","CONTRACT COST: 8,553,377.26","VALENZUELA CITY (14.693461 , 120.958543)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Structures and Groundsill at Moonwalk Creek - Merville Creek Junction, District 2, Parañaque City",PARAÑAQUE CITY,GMO CONSTRUCTION,"24,499,855.40",11/16/2022,REPORT,"Construction of Flood Mitigation Structures and Groundsill at Moonwalk Creek - Merville Creek Junction, District 2, Parañaque City",03/22/2022,"CONTRACTOR:
GMO CONSTRUCTION","CONTRACT COST: 24,499,855.40","PARAÑAQUE CITY (14.492911 , 121.018781)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Revetment Wall/Sheetpiling of Moonwalk Creek from Don Galo River - Moonwalk Creek Junction (Phase II), Parañaque City",PARAÑAQUE CITY,AKN CONSTRUCTION CORPORATION,"49,000,000.00",11/16/2022,REPORT,"Construction of Revetment Wall/Sheetpiling of Moonwalk Creek from Don Galo River - Moonwalk Creek Junction (Phase II), Parañaque City",03/22/2022,"CONTRACTOR:
AKN CONSTRUCTION CORPORATION","CONTRACT COST: 49,000,000.00","PARAÑAQUE CITY (14.500596 , 121.011871)",National Capital Region,Construction of Revetment,FY 2022
"Construction of Revetment Wall/Sheetpiling of Villanueva Creek (Phase 2), Parañaque City",PARAÑAQUE CITY,SPRING STAR CONSTRUCTION AND SUPPLY,"46,468,523.24",11/16/2022,REPORT,"Construction of Revetment Wall/Sheetpiling of Villanueva Creek (Phase 2), Parañaque City",03/22/2022,"CONTRACTOR:
SPRING STAR CONSTRUCTION AND SUPPLY","CONTRACT COST: 46,468,523.24","PARAÑAQUE CITY (14.478644 , 120.998662)",National Capital Region,Construction of Revetment,FY 2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 15), Brgy. Dampalit, Malabon City",MALABON CITY,"B. BERNARDO CONST., INC.","49,000,000.00",11/16/2022,REPORT,"Construction of Riverwall and Road Dike along Batasan River (Phase 15), Brgy. Dampalit, Malabon City",02/14/2022,"CONTRACTOR:
B. BERNARDO CONST., INC.","CONTRACT COST: 49,000,000.00","MALABON CITY (14.697174 , 120.923647)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 16), Brgy. Dampalit, Malabon City",MALABON CITY,"B. BERNARDO CONST., INC.","49,000,000.00",11/16/2022,REPORT,"Construction of Riverwall and Road Dike along Batasan River (Phase 16), Brgy. Dampalit, Malabon City",02/14/2022,"CONTRACTOR:
B. BERNARDO CONST., INC.","CONTRACT COST: 49,000,000.00","MALABON CITY (14.697610 , 120.922808)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Ambalbalan Flood Control along Chico River Sta. 175+350 - Sta. 175+410 (R.S), Mabongtot, Lubuagan, Kalinga",KALINGA,ROCKWELL BUILDERS,"4,519,926.68",11/16/2022,REPORT,"Construction of Ambalbalan Flood Control along Chico River Sta. 175+350 - Sta. 175+410 (R.S), Mabongtot, Lubuagan, Kalinga",04/10/2022,"CONTRACTOR:
ROCKWELL BUILDERS","CONTRACT COST: 4,519,926.68","KALINGA (17.336825 , 121.188435)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2021
"Construction of Malabbaga Flood Control, Sta. 58+300 - 58+800, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,"29,397,900.00",11/16/2022,REPORT,"Construction of Malabbaga Flood Control, Sta. 58+300 - 58+800, La Paz, Abra",03/29/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION","CONTRACT COST: 29,397,900.00","ABRA (17.678930 , 120.704910)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2021
"Construction of River Bank Protection along Hinatuan River, Surigao del Sur",SURIGAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"38,963,427.44",11/15/2022,REPORT,"Construction of River Bank Protection along Hinatuan River, Surigao del Sur",12/15/2021,"CONTRACTOR:
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION)","CONTRACT COST: 38,963,427.44","SURIGAO DEL SUR (8.374170 , 126.336940)",Region XIII,Construction of Revetment,FY 2021
"Construction of Baoy River Control, Barangay Daywan, Claver, Surigao del Norte",SURIGAO DEL NORTE,"CTB CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY : CTB ENGINEERING CONSTRUCTION) / CHARLZ CONSTRUCTION, INC.","56,169,526.72",11/15/2022,REPORT,"Construction of Baoy River Control, Barangay Daywan, Claver, Surigao del Norte",03/11/2022,"CONTRACTOR:
CTB CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY : CTB ENGINEERING CONSTRUCTION) / CHARLZ CONSTRUCTION, INC.","CONTRACT COST: 56,169,526.72","SURIGAO DEL NORTE (9.556830 , 125.709110)",Region XIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Structure along Marbel-Makar Road (Pagalungan Section), (Apopong-Silway-Sinawal River Basin), Pagalungan, Polomolok, South Cotabato",SOUTH COTABATO,AMPLEX CONSTRUCTION AND SUPPLIES,"70,968,904.86",11/15/2022,REPORT,"Construction of Flood Mitigation Structure along Marbel-Makar Road (Pagalungan Section), (Apopong-Silway-Sinawal River Basin), Pagalungan, Polomolok, South Cotabato",03/29/2022,"CONTRACTOR:
AMPLEX CONSTRUCTION AND SUPPLIES","CONTRACT COST: 70,968,904.86","SOUTH COTABATO (6.227500 , 125.048056)",Region XII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Box Culvert (Double Barrel) at Purok 6, Barangay Gabi, Compostela, Davao De Oro",DAVAO DE ORO,BQPC CORPORATION,"4,949,929.19",11/15/2022,REPORT,"Construction of Box Culvert (Double Barrel) at Purok 6, Barangay Gabi, Compostela, Davao De Oro",03/28/2022,"CONTRACTOR:
BQPC CORPORATION","CONTRACT COST: 4,949,929.19","DAVAO DE ORO (7.607754 , 126.058139)",Region XI,Construction of Flood Mitigation Structure,FY 2021
"Construction of Catublian Flood Control, Hinunangan, Southern Leyte",SOUTHERN LEYTE,ST. TIMOTHY CONSTRUCTION CORPORATION,"49,000,000.00",11/15/2022,REPORT,"Construction of Catublian Flood Control, Hinunangan, Southern Leyte",02/16/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION","CONTRACT COST: 49,000,000.00","SOUTHERN LEYTE (10.382748 , 125.201046)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Structure at Barangay Tupas (Antequera) along Abatan River - Sta. 000+000.00 - Sta. 001+000.00, Antequera, Bohol",BOHOL,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R / HERBERT MALMIS GENERAL MERCHANDISING & CONTRACTOR","47,914,729.53",11/15/2022,REPORT,"Construction of Flood Mitigation Structure at Barangay Tupas (Antequera) along Abatan River - Sta. 000+000.00 - Sta. 001+000.00, Antequera, Bohol",02/23/2022,"CONTRACTOR:
RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R / HERBERT MALMIS GENERAL MERCHANDISING & CONTRACTOR","CONTRACT COST: 47,914,729.53","BOHOL (9.742970 , 123.920360)",Region VII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Structure and Drainage System at Alegria, Sta. 000+000.00 - Sta. 000+625.00, Catigbian, Bohol",BOHOL,BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION),"48,999,390.00",11/15/2022,REPORT,"Construction of Flood Mitigation Structure and Drainage System at Alegria, Sta. 000+000.00 - Sta. 000+625.00, Catigbian, Bohol",03/24/2022,"CONTRACTOR:
BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION)","CONTRACT COST: 48,999,390.00","BOHOL (9.862470 , 124.032280)",Region VII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Talasa River Control, Brgy. Talasa, Panay, Capiz",CAPIZ,MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS,"62,724,975.20",11/15/2022,REPORT,"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Talasa River Control, Brgy. Talasa, Panay, Capiz",02/28/2022,"CONTRACTOR:
MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS","CONTRACT COST: 62,724,975.20","CAPIZ (11.489162 , 122.824124)",Region VI,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Panitan River Control (Downstream), Panitan, Capiz",CAPIZ,MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS,"62,724,905.03",11/15/2022,REPORT,"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Panitan River Control (Downstream), Panitan, Capiz",02/28/2022,"CONTRACTOR:
MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS","CONTRACT COST: 62,724,905.03","CAPIZ (11.466336 , 122.772456)",Region VI,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure along Gomihan River, Sorsogon City",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"19,599,857.32",11/15/2022,REPORT,"Construction of Flood Control Structure along Gomihan River, Sorsogon City",02/23/2022,"CONTRACTOR:
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.","CONTRACT COST: 19,599,857.32","SORSOGON (12.985690 , 124.005070)",Region V,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Protection Against Flooding at Barangay San Juan Roro - Burabod River, Sorsogon City, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"67,544,199.13",11/15/2022,REPORT,"Construction of Flood Control Protection Against Flooding at Barangay San Juan Roro - Burabod River, Sorsogon City, Sorsogon",02/23/2022,"CONTRACTOR:
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.","CONTRACT COST: 67,544,199.13","SORSOGON (12.974374 , 124.004126)",Region V,Construction of Slope Protection Structure,FY 2022
"Construction of Flood Control Structure along Kipit River, Zamboanga del Norte along Kipit Br. 2 Section (B01183MN) (Downstream - Left Side)",ZAMBOANGA DEL NORTE,EDANNA CONSTRUCTION,"86,057,735.00",11/15/2022,REPORT,"Construction of Flood Control Structure along Kipit River, Zamboanga del Norte along Kipit Br. 2 Section (B01183MN) (Downstream - Left Side)",03/02/2022,"CONTRACTOR:
EDANNA CONSTRUCTION","CONTRACT COST: 86,057,735.00","ZAMBOANGA DEL NORTE (8.063660 , 122.474340)",Region IX,Construction of Flood Mitigation Structure,FY 2022
"Construction/Rehabilitation of Flood Control Structure, Taytay River, Taytay, Rizal",RIZAL,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"94,926,276.39",11/15/2022,REPORT,"Construction/Rehabilitation of Flood Control Structure, Taytay River, Taytay, Rizal",03/28/2022,"CONTRACTOR:
FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO","CONTRACT COST: 94,926,276.39","RIZAL (14.553393 , 121.120147)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Rehabilitation/Reconstruction of Drainage Structure along Brgy. Poblacion, Tagkawayan, Quezon",QUEZON,RUSLIN CONSTRUCTION,"25,284,000.00",11/15/2022,REPORT,"Rehabilitation/Reconstruction of Drainage Structure along Brgy. Poblacion, Tagkawayan, Quezon",02/16/2022,"CONTRACTOR:
RUSLIN CONSTRUCTION","CONTRACT COST: 25,284,000.00","QUEZON (13.967388 , 122.532655)",Region IV-A,Rehabilitation / Major Repair of Drainage Structure,FY 2022
"Construction of Flood Control Structures along Piris River, Buenavista, Quezon",QUEZON,MRRM TRADING & CONSTRUCTION,"29,400,000.00",11/15/2022,REPORT,"Construction of Flood Control Structures along Piris River, Buenavista, Quezon",04/05/2022,"CONTRACTOR:
MRRM TRADING & CONSTRUCTION","CONTRACT COST: 29,400,000.00","QUEZON (13.741375 , 122.466752)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of Revetment/Riverwall along San Isidro River, Brgy. Sampaguita, San Pedro City, Laguna",LAGUNA,MAR-VEL CONSTRUCTION & SUPPLY,"77,196,457.00",11/15/2022,REPORT,"Construction of Revetment/Riverwall along San Isidro River, Brgy. Sampaguita, San Pedro City, Laguna",02/21/2022,"CONTRACTOR:
MAR-VEL CONSTRUCTION & SUPPLY","CONTRACT COST: 77,196,457.00","LAGUNA (14.343110 , 121.035210)",Region IV-A,Construction of Revetment,FY 2022
"Construction of Cutar Flood Control Structure along Sta. Fe River, Cutar, Aritao, Nueva Vizcaya",NUEVA VIZCAYA,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),"48,296,850.24",11/15/2022,REPORT,"Construction of Cutar Flood Control Structure along Sta. Fe River, Cutar, Aritao, Nueva Vizcaya",03/24/2022,"CONTRACTOR:
AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION)","CONTRACT COST: 48,296,850.24","NUEVA VIZCAYA (16.287410 , 121.030270)",Region II,Construction of Flood Mitigation Structure,FY 2022
